REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
76;Occitanie;81;065;Castres;07;8106507;Castres-1;18048;469;18517
76;Occitanie;81;065;Castres;08;8106508;Castres-2;9858;412;10270
76;Occitanie;81;065;Castres;09;8106509;Castres-3;14599;414;15013
76;Occitanie;81;163;Mazamet;16;8116316;Mazamet-1;2394;25;2419
76;Occitanie;81;163;Mazamet;17;8116317;Mazamet-2 Vallée du Thoré;7691;391;8082
76;Occitanie;82;121;Montauban;06;8212106;Montauban-1;20629;448;21077
76;Occitanie;82;121;Montauban;07;8212107;Montauban-2;19975;638;20613
76;Occitanie;82;121;Montauban;08;8212108;Montauban-3;22341;492;22833
93;Provence-Alpes-Côte d'Azur;83;069;Hyères;02;8306902;La Crau;8053;92;8145
93;Provence-Alpes-Côte d'Azur;83;061;Fréjus;05;8306105;Fréjus;46785;495;47280
93;Provence-Alpes-Côte d'Azur;83;069;Hyères;08;8306908;Hyères;47805;813;48618
93;Provence-Alpes-Côte d'Azur;83;061;Fréjus;14;8306114;Saint-Raphaël;12934;289;13223
93;Provence-Alpes-Côte d'Azur;83;126;La Seyne-sur-Mer;16;8312616;La Seyne-sur-Mer-1;54368;578;54946
93;Provence-Alpes-Côte d'Azur;83;126;La Seyne-sur-Mer;17;8312617;La Seyne-sur-Mer-2;9364;120;9484
93;Provence-Alpes-Côte d'Azur;83;137;Toulon;19;8313719;Toulon-1;51626;322;51948
93;Provence-Alpes-Côte d'Azur;83;137;Toulon;20;8313720;Toulon-2;45814;325;46139
93;Provence-Alpes-Côte d'Azur;83;137;Toulon;21;8313721;Toulon-3;26880;412;27292
93;Provence-Alpes-Côte d'Azur;83;137;Toulon;22;8313722;Toulon-4;54796;599;55395
93;Provence-Alpes-Côte d'Azur;84;007;Avignon;02;8400702;Avignon-1;28473;346;28819
93;Provence-Alpes-Côte d'Azur;84;007;Avignon;03;8400703;Avignon-2;33682;600;34282
93;Provence-Alpes-Côte d'Azur;84;007;Avignon;04;8400704;Avignon-3;30033;433;30466
52;Pays de la Loire;85;191;La Roche-sur-Yon;12;8519112;La Roche-sur-Yon-1;26156;1812;27968
52;Pays de la Loire;85;191;La Roche-sur-Yon;13;8519113;La Roche-sur-Yon-2;28693;1022;29715
75;Nouvelle-Aquitaine;86;066;Châtellerault;02;8606602;Châtellerault-1;8470;208;8678
75;Nouvelle-Aquitaine;86;066;Châtellerault;03;8606603;Châtellerault-2;9281;184;9465
75;Nouvelle-Aquitaine;86;066;Châtellerault;04;8606604;Châtellerault-3;13252;261;13513
75;Nouvelle-Aquitaine;86;194;Poitiers;13;8619413;Poitiers-1;17531;436;17967
75;Nouvelle-Aquitaine;86;194;Poitiers;14;8619414;Poitiers-2;16204;730;16934
75;Nouvelle-Aquitaine;86;194;Poitiers;15;8619415;Poitiers-3;27290;758;28048
75;Nouvelle-Aquitaine;86;194;Poitiers;16;8619416;Poitiers-4;16811;256;17067
75;Nouvelle-Aquitaine;86;194;Poitiers;17;8619417;Poitiers-5;12080;91;12171
75;Nouvelle-Aquitaine;87;085;Limoges;08;8708508;Limoges-1;18774;274;19048
75;Nouvelle-Aquitaine;87;085;Limoges;09;8708509;Limoges-2;15142;104;15246
75;Nouvelle-Aquitaine;87;085;Limoges;10;8708510;Limoges-3;16647;172;16819
75;Nouvelle-Aquitaine;87;085;Limoges;11;8708511;Limoges-4;15809;91;15900
75;Nouvelle-Aquitaine;87;085;Limoges;12;8708512;Limoges-5;7797;465;8262
75;Nouvelle-Aquitaine;87;085;Limoges;13;8708513;Limoges-6;17512;272;17784
75;Nouvelle-Aquitaine;87;085;Limoges;14;8708514;Limoges-7;13370;182;13552
75;Nouvelle-Aquitaine;87;085;Limoges;15;8708515;Limoges-8;15798;255;16053
75;Nouvelle-Aquitaine;87;085;Limoges;16;8708516;Limoges-9;9088;65;9153
44;Grand Est;88;160;Épinal;05;8816005;Épinal-1;12931;371;13302
44;Grand Est;88;160;Épinal;06;8816006;Épinal-2;19320;773;20093
44;Grand Est;88;413;Saint-Dié-des-Vosges;13;8841313;Saint-Dié-des-Vosges-1;11439;262;11701
44;Grand Est;88;413;Saint-Dié-des-Vosges;14;8841314;Saint-Dié-des-Vosges-2;7812;208;8020
27;Bourgogne-Franche-Comté;89;024;Auxerre;01;8902401;Auxerre-1;8301;382;8683
27;Bourgogne-Franche-Comté;89;024;Auxerre;02;8902402;Auxerre-2;6519;156;6675
27;Bourgogne-Franche-Comté;89;024;Auxerre;03;8902403;Auxerre-3;9006;306;9312
27;Bourgogne-Franche-Comté;89;024;Auxerre;04;8902404;Auxerre-4;11271;304;11575
27;Bourgogne-Franche-Comté;89;387;Sens;16;8938716;Sens-1;16384;295;16679
27;Bourgogne-Franche-Comté;89;387;Sens;17;8938717;Sens-2;10722;199;10921
27;Bourgogne-Franche-Comté;90;010;Belfort;02;9001002;Belfort-1;15144;308;15452
27;Bourgogne-Franche-Comté;90;010;Belfort;03;9001003;Belfort-2;16063;235;16298
27;Bourgogne-Franche-Comté;90;010;Belfort;04;9001004;Belfort-3;14705;207;14912
11;Île-de-France;91;421;Montgeron;06;9142106;Draveil;6212;113;6325
11;Île-de-France;91;114;Brunoy;07;9111407;Épinay-sous-Sénart;5885;67;5952
11;Île-de-France;91;421;Montgeron;19;9142119;Vigneux-sur-Seine;17810;181;17991
11;Île-de-France;91;114;Brunoy;21;9111421;Yerres;19758;380;20138
11;Île-de-France;92;004;Asnières-sur-Seine;02;9200402;Asnières-sur-Seine;77014;473;77487
11;Île-de-France;92;012;Boulogne-Billancourt;04;9201204;Boulogne-Billancourt-1;65159;769;65928
11;Île-de-France;92;012;Boulogne-Billancourt;05;9201205;Boulogne-Billancourt-2;53860;418;54278
11;Île-de-France;92;025;Colombes;10;9202510;Colombes-1;77558;453;78011
11;Île-de-France;92;025;Colombes;11;9202511;Colombes-2;13495;157;13652
11;Île-de-France;92;026;Courbevoie;12;9202612;Courbevoie-1;52045;421;52466
11;Île-de-France;92;004;Asnières-sur-Seine;12;9200412;Courbevoie-1;16927;148;17075
11;Île-de-France;92;026;Courbevoie;13;9202613;Courbevoie-2;30857;157;31014
11;Île-de-France;92;050;Nanterre;19;9205019;Nanterre-1;65644;362;66006
11;Île-de-France;92;050;Nanterre;20;9205020;Nanterre-2;32139;238;32377
11;Île-de-France;93;029;Drancy;04;9302904;Le Blanc-Mesnil;7922;16;7938
11;Île-de-France;93;008;Bobigny;05;9300805;Bobigny;54273;106;54379
11;Île-de-France;93;008;Bobigny;06;9300806;Bondy;2654;2;2656
11;Île-de-France;93;029;Drancy;08;9302908;Drancy;64468;177;64645
11;Île-de-France;93;066;Saint-Denis;09;9306609;Épinay-sur-Seine;33476;49;33525
11;Île-de-France;93;031;Épinay-sur-Seine;09;9303109;Épinay-sur-Seine;21906;53;21959
11;Île-de-France;93;048;Montreuil;12;9304812;Montreuil-1;46718;273;46991
11;Île-de-France;93;048;Montreuil;13;9304813;Montreuil-2;65216;342;65558
11;Île-de-France;93;066;Saint-Denis;16;9306616;Saint-Denis-1;71782;174;71956
11;Île-de-France;93;066;Saint-Denis;17;9306617;Saint-Denis-2;43819;636;44455
11;Île-de-France;93;031;Épinay-sur-Seine;18;9303118;Saint-Ouen-sur-Seine;30927;58;30985
11;Île-de-France;94;017;Champigny-sur-Marne;03;9401703;Champigny-sur-Marne-1;52349;229;52578
11;Île-de-France;94;017;Champigny-sur-Marne;04;9401704;Champigny-sur-Marne-2;25723;99;25822
11;Île-de-France;94;052;Nogent-sur-Marne;05;9405205;Charenton-le-Pont;920;11;931
11;Île-de-France;94;078;Villeneuve-Saint-Georges;06;9407806;Choisy-le-Roi;23197;75;23272
11;Île-de-France;94;028;Créteil;07;9402807;Créteil-1;47293;197;47490
11;Île-de-France;94;028;Créteil;08;9402808;Créteil-2;46104;219;46323
11;Île-de-France;94;080;Vincennes;09;9408009;Fontenay-sous-Bois;8950;52;9002
11;Île-de-France;94;052;Nogent-sur-Marne;14;9405214;Nogent-sur-Marne;31535;235;31770
11;Île-de-France;94;068;Saint-Maur-des-Fossés;17;9406817;Saint-Maur-des-Fossés-1;63311;719;64030
11;Île-de-France;94;068;Saint-Maur-des-Fossés;18;9406818;Saint-Maur-des-Fossés-2;13261;122;13383
11;Île-de-France;94;078;Villeneuve-Saint-Georges;21;9407821;Villeneuve-Saint-Georges;13024;23;13047
11;Île-de-France;94;080;Vincennes;23;9408023;Vincennes;39243;399;39642
11;Île-de-France;94;081;Vitry-sur-Seine;24;9408124;Vitry-sur-Seine-1;46961;219;47180
11;Île-de-France;94;081;Vitry-sur-Seine;25;9408125;Vitry-sur-Seine-2;47002;211;47213
11;Île-de-France;95;018;Argenteuil;01;9501801;Argenteuil-1;10976;28;11004
11;Île-de-France;95;018;Argenteuil;02;9501802;Argenteuil-2;60142;179;60321
11;Île-de-France;95;018;Argenteuil;03;9501803;Argenteuil-3;35012;209;35221
11;Île-de-France;95;127;Cergy;04;9512704;Cergy-1;50330;163;50493
11;Île-de-France;95;127;Cergy;05;9512705;Cergy-2;20576;181;20757
01;Guadeloupe;971;101;Les Abymes;01;9710101;Les Abymes-1;15002;144;15146
01;Guadeloupe;971;101;Les Abymes;02;9710102;Les Abymes-2;20072;123;20195
01;Guadeloupe;971;113;Le Gosier;03;9711303;Les Abymes-3;3742;21;3763
01;Guadeloupe;971;101;Les Abymes;03;9710103;Les Abymes-3;15981;119;16100
01;Guadeloupe;971;103;Baie-Mahault;04;9710304;Baie-Mahault-1;18968;208;19176
01;Guadeloupe;971;103;Baie-Mahault;05;9710305;Baie-Mahault-2;11956;203;12159
01;Guadeloupe;971;118;Petit-Bourg;05;9711805;Baie-Mahault-2;12477;156;12633
01;Guadeloupe;971;113;Le Gosier;08;9711308;Le Gosier;24015;205;24220
01;Guadeloupe;971;118;Petit-Bourg;13;9711813;Petit-Bourg;12188;98;12286
01;Guadeloupe;971;128;Sainte-Anne;16;9712816;Saint-François;3716;62;3778
01;Guadeloupe;971;128;Sainte-Anne;17;9712817;Sainte-Anne;20257;169;20426
01;Guadeloupe;971;106;Bouillante;18;9710618;Sainte-Rose-1;2415;42;2457
01;Guadeloupe;971;129;Sainte-Rose;18;9712918;Sainte-Rose-1;2805;46;2851
01;Guadeloupe;971;129;Sainte-Rose;19;9712919;Sainte-Rose-2;14895;160;15055
01;Guadeloupe;971;106;Bouillante;21;9710621;Vieux-Habitants;3712;41;3753
04;La Réunion;974;413;Saint-Leu;01;9741301;L'Étang-Salé;4905;64;4969
04;La Réunion;974;409;Saint-André;04;9740904;Saint-André-1;10011;77;10088
04;La Réunion;974;409;Saint-André;05;9740905;Saint-André-2;38604;302;38906
04;La Réunion;974;409;Saint-André;06;9740906;Saint-André-3;10270;87;10357
04;La Réunion;974;410;Saint-Benoît;07;9741007;Saint-Benoît-1;21900;211;22111
04;La Réunion;974;410;Saint-Benoît;08;9741008;Saint-Benoît-2;16704;152;16856
04;La Réunion;974;411;Saint-Denis;09;9741109;Saint-Denis-1;43840;358;44198
04;La Réunion;974;411;Saint-Denis;10;9741110;Saint-Denis-2;33749;389;34138
04;La Réunion;974;411;Saint-Denis;11;9741111;Saint-Denis-3;40003;433;40436
04;La Réunion;974;411;Saint-Denis;12;9741112;Saint-Denis-4;38042;328;38370
04;La Réunion;974;412;Saint-Joseph;13;9741213;Saint-Joseph;28708;275;28983
04;La Réunion;974;413;Saint-Leu;14;9741314;Saint-Leu;31258;460;31718
04;La Réunion;974;414;Saint-Louis;15;9741415;Saint-Louis-1;29957;389;30346
04;La Réunion;974;414;Saint-Louis;16;9741416;Saint-Louis-2;24984;323;25307
04;La Réunion;974;415;Saint-Paul;17;9741517;Saint-Paul-1;34478;312;34790
04;La Réunion;974;415;Saint-Paul;18;9741518;Saint-Paul-2;36235;438;36673
04;La Réunion;974;415;Saint-Paul;19;9741519;Saint-Paul-3;37375;567;37942
04;La Réunion;974;416;Saint-Pierre;20;9741620;Saint-Pierre-1;35177;417;35594
04;La Réunion;974;416;Saint-Pierre;21;9741621;Saint-Pierre-2;37992;361;38353
04;La Réunion;974;416;Saint-Pierre;22;9741622;Saint-Pierre-3;11869;111;11980
04;La Réunion;974;412;Saint-Joseph;22;9741222;Saint-Pierre-3;10499;281;10780
04;La Réunion;974;422;Le Tampon;24;9742224;Le Tampon-1;41746;384;42130
04;La Réunion;974;422;Le Tampon;25;9742225;Le Tampon-2;40833;555;41388
