DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
50;359;50359;Mortain-Bocage;50;381;50381;Notre-Dame-du-Touchet;612;10;622
50;041;50041;La Hague;50;385;50385;Omonville-la-Petite;111;3;114
50;041;50041;La Hague;50;386;50386;Omonville-la-Rogue;466;11;477
50;388;50388;Orval sur Sienne;50;388;50388;Orval;920;27;947
50;391;50391;Grandparigny;50;391;50391;Parigny;1789;48;1837
50;393;50393;Percy-en-Normandie;50;393;50393;Percy;2381;99;2480
50;082;50082;Bricquebec-en-Cotentin;50;396;50396;Les Perques;155;2;157
50;444;50444;Saint-Amand-Villages;50;404;50404;Placy-Montaigu;212;2;214
50;410;50410;Pontorson;50;410;50410;Pontorson;3788;75;3863
50;412;50412;Port-Bail-sur-Mer;50;412;50412;Portbail;1492;48;1540
50;492;50492;Saint-Jean-d'Elle;50;414;50414;Précorbin;526;13;539
50;273;50273;Montsenelle;50;415;50415;Prétot-Sainte-Suzanne;300;3;303
50;129;50129;Cherbourg-en-Cotentin;50;416;50416;Querqueville;4989;131;5120
50;082;50082;Bricquebec-en-Cotentin;50;418;50418;Quettetot;730;14;744
50;419;50419;Quettreville-sur-Sienne;50;419;50419;Quettreville-sur-Sienne;1435;31;1466
50;523;50523;Sainte-Mère-Église;50;427;50427;Ravenoville;229;1;230
50;431;50431;Remilly Les Marais;50;431;50431;Remilly-sur-Lozon;646;5;651
50;565;50565;Sartilly-Baie-Bocage;50;434;50434;La Rochelle-Normande;397;15;412
50;436;50436;Romagny Fontenay;50;436;50436;Romagny;918;31;949
50;550;50550;Saint-Sauveur-Villages;50;438;50438;La Ronde-Haye;319;7;326
50;167;50167;Dragey-Ronthon;50;439;50439;Ronthon;222;6;228
50;639;50639;Villedieu-les-Poêles-Rouffigny;50;440;50440;Rouffigny;317;3;320
50;492;50492;Saint-Jean-d'Elle;50;441;50441;Rouxeville;416;3;419
50;444;50444;Saint-Amand-Villages;50;444;50444;Saint-Amand;2313;58;2371
50;550;50550;Saint-Sauveur-Villages;50;449;50449;Saint-Aubin-du-Perron;217;3;220
50;099;50099;Carentan-les-Marais;50;458;50458;Saint-Côme-du-Mont;486;7;493
50;041;50041;La Hague;50;460;50460;Sainte-Croix-Hague;833;20;853
50;095;50095;Canisy;50;465;50465;Saint-Ébremond-de-Bonfossé;693;30;723
50;564;50564;Terre-et-Marais;50;470;50470;Saint-Georges-de-Bohon;405;7;412
50;041;50041;La Hague;50;477;50477;Saint-Germain-des-Vaux;354;9;363
50;484;50484;Saint-Hilaire-du-Harcouët;50;484;50484;Saint-Hilaire-du-Harcouët;3723;249;3972
50;487;50487;Saint-James;50;487;50487;Saint-James;2797;48;2845
50;492;50492;Saint-Jean-d'Elle;50;492;50492;Saint-Jean-des-Baisants;1274;43;1317
50;359;50359;Mortain-Bocage;50;494;50494;Saint-Jean-du-Corail;258;2;260
50;273;50273;Montsenelle;50;497;50497;Saint-Jores;378;4;382
50;493;50493;Saint-Jean-des-Champs;50;501;50501;Saint-Léger;91;3;94
