Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
L'Abergement-Clémenciat;01001;L'Abergement-Clémenciat;346;895;590.8;;25820;;;;;;;;;;;;;;;;;;;;;;;;;346;895;590.8;;;26410;;;;;;;;;;;;;;;;;;;
L'Abergement-de-Varey;01002;L'Abergement-de-Varey;115;266;181;;24480;;;;;;;;;;;;;;;;;;;;;;;;;115;266;181;;;24950;;;;;;;;;;;;;;;;;;;
Ambérieu-en-Bugey;01004;Ambérieu-en-Bugey;6855;15092;10398.2;15800;21660;28430;12630;11890;14640;17040;19360;23980;26880;30590;36450;3.1;4.1;0.28;72.3;65.7;3.2;3.4;25.3;10.2;7;2.6;3;1.4;-14.8;6861;15103;10406.5;50;13180;20940;29260;16080;7070;11530;15080;18120;23890;27290;31860;39380;5,6;8.1;0.368;67.9;61.5;3.2;3.2;24.4;7.7
Ambérieux-en-Dombes;01005;Ambérieux-en-Dombes;800;2028;1329.7;20010;24610;31180;11170;15560;18980;21100;22670;26470;29780;32780;40580;2.6;3.3;0.246;81.5;74.9;2.3;4.3;21.4;10;3.4;2.1;0.9;0.4;-16.3;801;2030;1331.2;61;18900;24800;32660;13760;13450;17650;20350;22080;27070;30980;34570;43610;3,2;4.4;0.298;73.2;67.2;2.2;3.8;19.7;7.1
Ambléon;01006;Ambléon;51;107;76.6;;24210;;;;;;;;;;;;;;;;;;;;;;;;;51;107;76.6;;;24080;;;;;;;;;;;;;;;;;;;
Ambronay;01007;Ambronay;1184;2874;1915.7;19490;24860;31530;12030;15170;18150;20740;22520;27340;30040;33940;39460;2.6;3;0.213;77.2;72.7;2.4;2.1;26.2;7.2;4.2;2.1;1.4;0.7;-14.8;1184;2874;1915.7;60;18460;24950;32840;14390;12040;16800;19990;22340;27840;30990;35760;42260;3,5;4.1;0.26;70.9;66.6;2.4;1.9;24.7;4.4
Ambutrix;01008;Ambutrix;326;753;516.3;;26300;;;;;;;;;;;;;;;;;;;;;;;;;326;753;516.3;;;26720;;;;;;;;;;;;;;;;;;;
Andert-et-Condon;01009;Aert-et-Coon;157;380;256.8;;24810;;;;;;;;;;;;;;;;;;;;;;;;;158;381;257.8;;;24300;;;;;;;;;;;;;;;;;;;
Anglefort;01010;Anglefort;481;1122;760.1;;24700;;;;;;;;;;;;;;;;;;;;;;;;;481;1122;760.1;;;24900;;;;;;;;;;;;;;;;;;;
Apremont;01011;Apremont;161;405;265.9;;24530;;;;;;;;;;;;;;;;;;;;;;;;;161;405;265.9;;;24810;;;;;;;;;;;;;;;;;;;
Aranc;01012;Aranc;144;324;223.1;;24270;;;;;;;;;;;;;;;;;;;;;;;;;144;324;223.1;;;23280;;;;;;;;;;;;;;;;;;;
Arandas;01013;Araas;67;127;94.2;;22180;;;;;;;;;;;;;;;;;;;;;;;;;67;127;94.2;;;22220;;;;;;;;;;;;;;;;;;;
Arbent;01014;Arbent;1361;3438;2290.1;17120;22410;28690;11580;12790;15830;18360;20330;24620;27010;31090;38770;3;4;0.279;69.8;64.6;3.2;2;29;11.5;4.8;2.2;1.8;0.8;-15.1;1361;3438;2290.1;51;15640;21910;29500;13860;9590;14160;17170;19730;24420;27290;32550;41400;4,3;6;0.341;64.6;59.5;3.2;1.9;27.5;7.9
Arboys en Bugey;01015;Arboys en Bugey;313;734;498.7;;23800;;;;;;;;;;;;;;;;;;;;;;;;;313;734;498.7;;;23710;;;;;;;;;;;;;;;;;;;
Arbigny;01016;Arbigny;187;473;312;;23080;;;;;;;;;;;;;;;;;;;;;;;;;187;473;312;;;22930;;;;;;;;;;;;;;;;;;;
Argis;01017;Argis;194;419;293.5;;20790;;;;;;;;;;;;;;;;;;;;;;;;;194;419;293.5;;;19920;;;;;;;;;;;;;;;;;;;
Armix;01019;Armix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ars-sur-Formans;01021;Ars-sur-Formans;565;1423;941.2;;26430;;;;;;;;;;;;;;;;;;;;;;;;;565;1423;941.2;;;26250;;;;;;;;;;;;;;;;;;;
Artemare;01022;Artemare;574;1158;836.8;;22000;;;;;;;;;;;;;;;;;;;;;;;;;576;1163;840.3;;;21800;;;;;;;;;;;;;;;;;;;
Asnières-sur-Saône;01023;Asnières-sur-Saône;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Attignat;01024;Attignat;1406;3395;2276.3;19760;24460;29570;9810;15300;18300;20900;22690;26370;28360;31460;37690;2.5;2.9;0.212;78.1;71.5;2.6;4;25.8;7;4;2.2;1.2;0.6;-14.9;1406;3395;2276.3;60;18630;24270;30720;12090;13230;17090;19870;22010;26550;29220;33130;40700;3,1;3.9;0.261;71.5;65.3;2.5;3.7;24.3;4.2
Bâgé-Dommartin;01025;Bâgé-Dommartin;1628;4204;2762.6;20060;24880;30450;10390;16110;19080;21140;22960;27050;29130;32100;37730;2.3;3.1;0.228;79.4;71.8;2.3;5.3;23;9.4;3.6;2;1.2;0.4;-15.4;1628;4204;2762.6;58;19200;24610;31540;12340;14380;17610;20120;22360;27240;29700;33620;40870;2,8;4;0.278;72.1;65.1;2.2;4.8;21.5;6.4
Bâgé-le-Châtel;01026;Bâgé-le-Châtel;434;942;657.2;;22860;;;;;;;;;;;;;;;;;;;;;;;;;434;942;657.2;;;22460;;;;;;;;;;;;;;;;;;;
Balan;01027;Balan;712;1899;1219.5;;25770;;;;;;;;;;;;;;;;;;;;;;;;;712;1899;1219.5;;;25680;;;;;;;;;;;;;;;;;;;
Baneins;01028;Baneins;227;598;387.6;;25520;;;;;;;;;;;;;;;;;;;;;;;;;228;599;388.6;;;24780;;;;;;;;;;;;;;;;;;;
Beaupont;01029;Beaupont;274;652;438.2;;21350;;;;;;;;;;;;;;;;;;;;;;;;;274;652;438.2;;;20430;;;;;;;;;;;;;;;;;;;
Beauregard;01030;Beauregard;364;826;567;;24240;;;;;;;;;;;;;;;;;;;;;;;;;365;829;569;;;24060;;;;;;;;;;;;;;;;;;;
Bellignat;01031;Bellignat;1479;3238;2254.5;14850;20550;27430;12580;11210;13780;15860;18380;22860;25980;29500;35500;3.2;4;0.277;65.9;60.2;3.9;1.8;32.8;8.3;7;2.7;2.8;1.5;-14;1479;3238;2254.5;44;12270;19970;27930;15660;7090;10520;13920;17370;22670;25820;30000;37840;5,3;7.7;0.361;62.6;57;3.9;1.7;32;5.4
Béligneux;01032;Béligneux;1184;3117;2004.6;17930;23060;29720;11790;14460;16830;18790;20650;25390;28290;31800;38290;2.6;3.4;0.249;77.8;71.9;3.3;2.6;23.7;8.1;5.2;3.2;1.3;0.7;-14.8;1184;3117;2004.6;56;16080;22400;30710;14630;11010;14500;17240;19890;25250;28400;33330;41760;3,8;5;0.311;72;66.3;3.3;2.4;22.4;5.6
Valserhône;01033;Valserhône;6545;14862;10156.9;16240;23780;34510;18270;11090;14680;17850;20850;27200;31610;37930;48750;4.4;5.4;0.322;80.9;74.6;4.1;2.2;23.1;5.5;4.4;1.7;1.8;0.9;-13.9;6563;14889;10178.8;46;14450;23750;35880;21430;7610;12370;16640;20310;27650;32830;39880;51770;6,8;8.7;0.375;74.8;68.8;4;2;21.9;3.3
Belley;01034;Belley;4073;8591;6059.2;15730;21180;27640;11900;11510;14350;16940;19120;23320;26070;29950;36260;3.2;3.9;0.265;64.6;57.4;3.1;4.1;34.7;8.1;6.9;2.3;3.2;1.4;-14.3;4075;8594;6061.7;48;13220;20300;28230;15010;7200;11280;14930;17760;23000;26200;30790;38870;5,4;7.2;0.344;61.3;54.3;3.1;3.9;33.9;4.8
Belleydoux;01035;Belleydoux;145;321;225.1;;26160;;;;;;;;;;;;;;;;;;;;;;;;;145;321;225.1;;;25910;;;;;;;;;;;;;;;;;;;
Valromey-sur-Séran;01036;Valromey-sur-Séran;592;1302;911.1;;23820;;;;;;;;;;;;;;;;;;;;;;;;;593;1304;912.6;;;23690;;;;;;;;;;;;;;;;;;;
Bénonces;01037;Bénonces;126;285;195.3;;21770;;;;;;;;;;;;;;;;;;;;;;;;;126;285;195.3;;;21770;;;;;;;;;;;;;;;;;;;
Bény;01038;Bény;321;776;524;;24250;;;;;;;;;;;;;;;;;;;;;;;;;321;776;524;;;24240;;;;;;;;;;;;;;;;;;;
Béon;01039;Béon;214;492;336;;22130;;;;;;;;;;;;;;;;;;;;;;;;;214;492;336;;;22180;;;;;;;;;;;;;;;;;;;
Béréziat;01040;Béréziat;195;516;336.4;;23440;;;;;;;;;;;;;;;;;;;;;;;;;195;516;336.4;;;23110;;;;;;;;;;;;;;;;;;;
Bettant;01041;Bettant;336;747;519.2;;25150;;;;;;;;;;;;;;;;;;;;;;;;;335;744;517.2;;;25280;;;;;;;;;;;;;;;;;;;
Bey;01042;Bey;126;305;206;;25520;;;;;;;;;;;;;;;;;;;;;;;;;126;305;206;;;25550;;;;;;;;;;;;;;;;;;;
Beynost;01043;Beynost;1963;5041;3315.8;22710;28730;37830;15120;17010;21010;23760;26110;31580;35530;40440;49170;2.9;3.6;0.253;82.1;75.1;2;5;24.9;9.3;2.7;1.5;0.8;0.4;-19;1964;5043;3317.3;70;22100;29260;40850;18740;14980;20100;23500;26150;32990;37780;44740;56220;3,8;4.7;0.3;72;65.7;1.9;4.4;22.3;5.7
Billiat;01044;Billiat;276;616;424.8;;28550;;;;;;;;;;;;;;;;;;;;;;;;;278;618;426.8;;;29760;;;;;;;;;;;;;;;;;;;
Birieux;01045;Birieux;106;278;180.5;;28180;;;;;;;;;;;;;;;;;;;;;;;;;106;278;180.5;;;28280;;;;;;;;;;;;;;;;;;;
Biziat;01046;Biziat;354;873;583.2;;24260;;;;;;;;;;;;;;;;;;;;;;;;;354;873;583.2;;;23980;;;;;;;;;;;;;;;;;;;
Blyes;01047;Blyes;484;1277;825.3;;27110;;;;;;;;;;;;;;;;;;;;;;;;;484;1277;825.3;;;27660;;;;;;;;;;;;;;;;;;;
La Boisse;01049;La Boisse;1279;3396;2207.8;20700;26780;34170;13470;15940;19240;21890;24370;28960;32070;36330;43540;2.7;3.2;0.233;81.5;74;2.6;4.9;24.1;8;3.3;1.9;0.9;0.5;-16.9;1279;3394;2207;65;19520;26930;35800;16280;13610;18180;21110;24150;30070;33340;38910;47770;3,5;4.2;0.279;72.9;66.1;2.4;4.4;22.1;5
Boissey;01050;Boissey;136;359;232;;23180;;;;;;;;;;;;;;;;;;;;;;;;;138;368;237.1;;;22430;;;;;;;;;;;;;;;;;;;
Bolozon;01051;Bolozon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bouligneux;01052;Bouligneux;126;316;211.7;;27630;;;;;;;;;;;;;;;;;;;;;;;;;127;321;214.1;;;28800;;;;;;;;;;;;;;;;;;;
Bourg-en-Bresse;01053;Bourg-en-Bresse;18870;37019;26779.7;14200;20210;27160;12960;10440;13100;15370;17780;22580;25420;29220;35770;3.4;4.5;0.294;65.3;58.7;3.2;3.4;33.2;7.8;8.3;2.5;4;1.8;-14.6;18878;37037;26792;46;10850;19090;27670;16820;4890;9070;12650;16030;22170;25670;30180;38640;7,9;11;0.396;62.6;56.1;3.2;3.3;32.8;4.6
Bourg-Saint-Christophe;01054;Bourg-Saint-Christophe;573;1571;1002.9;;27320;;;;;;;;;;;;;;;;;;;;;;;;;573;1571;1002.9;;;27500;;;;;;;;;;;;;;;;;;;
Boyeux-Saint-Jérôme;01056;Boyeux-Saint-Jérôme;150;343;233.6;;21640;;;;;;;;;;;;;;;;;;;;;;;;;150;343;233.6;;;21150;;;;;;;;;;;;;;;;;;;
Boz;01057;Boz;204;468;321.8;;24300;;;;;;;;;;;;;;;;;;;;;;;;;204;468;321.8;;;23180;;;;;;;;;;;;;;;;;;;
Brégnier-Cordon;01058;Brégnier-Cordon;344;801;544.7;;23420;;;;;;;;;;;;;;;;;;;;;;;;;344;801;544.7;;;23370;;;;;;;;;;;;;;;;;;;
Brénod;01060;Brénod;244;548;379.3;;24970;;;;;;;;;;;;;;;;;;;;;;;;;244;548;379.3;;;24710;;;;;;;;;;;;;;;;;;;
Brens;01061;Brens;460;1183;788.8;;25110;;;;;;;;;;;;;;;;;;;;;;;;;460;1183;788.8;;;25220;;;;;;;;;;;;;;;;;;;
Bressolles;01062;Bressolles;374;988;641.8;;28710;;;;;;;;;;;;;;;;;;;;;;;;;375;991;643.8;;;29950;;;;;;;;;;;;;;;;;;;
Brion;01063;Brion;246;574;393.7;;25400;;;;;;;;;;;;;;;;;;;;;;;;;248;582;398.5;;;25570;;;;;;;;;;;;;;;;;;;
Briord;01064;Briord;470;1135;760;;23440;;;;;;;;;;;;;;;;;;;;;;;;;470;1135;760;;;23290;;;;;;;;;;;;;;;;;;;
Buellas;01065;Buellas;794;1985;1318.4;;26810;;;;;;;;;;;;;;;;;;;;;;;;;794;1985;1318.4;;;26710;;;;;;;;;;;;;;;;;;;
La Burbanche;01066;La Burbanche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceignes;01067;Ceignes;103;245;165.8;;25900;;;;;;;;;;;;;;;;;;;;;;;;;104;246;166.8;;;26010;;;;;;;;;;;;;;;;;;;
Cerdon;01068;Cerdon;334;734;512.8;;21410;;;;;;;;;;;;;;;;;;;;;;;;;334;734;512.8;;;21060;;;;;;;;;;;;;;;;;;;
Certines;01069;Certines;671;1583;1073.4;;25570;;;;;;;;;;;;;;;;;;;;;;;;;671;1583;1073.4;;;25970;;;;;;;;;;;;;;;;;;;
Cessy;01071;Cessy;1961;4845;3195.5;26190;42540;62720;36530;16720;22880;29040;35810;49800;57610;68120;86560;5.2;6.6;0.348;97;90.6;3;3.4;14.5;6.5;1;0.4;0.4;0.2;-19;1994;4930;3250.2;63;26040;45360;67890;41850;13850;22410;29350;37490;54010;62520;74480;96140;6,9;9;0.377;83.3;77.7;2.7;2.9;12.7;4
Ceyzériat;01072;Ceyzériat;1392;3231;2196.6;19840;25320;32610;12770;15220;18470;21040;23100;27710;30710;35190;41750;2.7;3.5;0.252;76.3;66.7;2.4;7.2;27.5;10;3.8;1.8;1.3;0.7;-17.6;1393;3232;2197.6;63;18880;25520;34550;15680;12340;17310;20350;22930;28230;31870;37580;46780;3,8;5;0.31;68.4;59.6;2.3;6.5;25.2;6.4
Ceyzérieu;01073;Ceyzérieu;457;1045;723.6;;25250;;;;;;;;;;;;;;;;;;;;;;;;;458;1048;725.4;;;25210;;;;;;;;;;;;;;;;;;;
Chalamont;01074;Chalamont;1029;2423;1633.2;18210;23720;29530;11320;13460;17000;19390;21330;25740;28210;31220;36870;2.7;3.3;0.232;78.8;72.7;2.8;3.3;23.7;7.2;4.7;2.2;1.7;0.8;-14.4;1031;2426;1635.8;50;16690;23290;30410;13720;10380;15420;18250;21020;25840;28650;32190;39990;3,9;4.9;0.288;72.6;67.1;2.7;2.8;22.9;4.5
Chaleins;01075;Chaleins;555;1462;946.9;;24890;;;;;;;;;;;;;;;;;;;;;;;;;555;1462;946.9;;;25030;;;;;;;;;;;;;;;;;;;
Chaley;01076;Chaley;86;150;115.9;;21070;;;;;;;;;;;;;;;;;;;;;;;;;86;150;115.9;;;20910;;;;;;;;;;;;;;;;;;;
Challes-la-Montagne;01077;Challes-la-Montagne;92;184;131.6;;24620;;;;;;;;;;;;;;;;;;;;;;;;;92;184;131.6;;;25120;;;;;;;;;;;;;;;;;;;
Challex;01078;Challex;561;1340;895.9;;44460;;;;;;;;;;;;;;;;;;;;;;;;;568;1359;908.3;;;47470;;;;;;;;;;;;;;;;;;;
Champagne-en-Valromey;01079;Champagne-en-Valromey;308;677;469.9;;22770;;;;;;;;;;;;;;;;;;;;;;;;;308;677;469.9;;;21700;;;;;;;;;;;;;;;;;;;
Champdor-Corcelles;01080;Champdor-Corcelles;281;630;434.9;;23720;;;;;;;;;;;;;;;;;;;;;;;;;281;630;434.9;;;23820;;;;;;;;;;;;;;;;;;;
Champfromier;01081;Champfromier;322;726;497.6;;27400;;;;;;;;;;;;;;;;;;;;;;;;;322;726;497.6;;;27800;;;;;;;;;;;;;;;;;;;
Chanay;01082;Chanay;215;492;335.9;;27880;;;;;;;;;;;;;;;;;;;;;;;;;216;493;336.9;;;28290;;;;;;;;;;;;;;;;;;;
Chaneins;01083;Chaneins;384;992;649.5;;25580;;;;;;;;;;;;;;;;;;;;;;;;;384;992;649.5;;;25460;;;;;;;;;;;;;;;;;;;
Chanoz-Châtenay;01084;Chanoz-Châtenay;342;909;586.8;;24050;;;;;;;;;;;;;;;;;;;;;;;;;342;909;586.8;;;23180;;;;;;;;;;;;;;;;;;;
La Chapelle-du-Châtelard;01085;La Chapelle-du-Châtelard;151;396;259.2;;26330;;;;;;;;;;;;;;;;;;;;;;;;;151;396;259.2;;;26270;;;;;;;;;;;;;;;;;;;
Charix;01087;Charix;118;281;191.5;;27320;;;;;;;;;;;;;;;;;;;;;;;;;118;281;191.5;;;26650;;;;;;;;;;;;;;;;;;;
Charnoz-sur-Ain;01088;Charnoz-sur-Ain;380;975;644.2;;28140;;;;;;;;;;;;;;;;;;;;;;;;;380;975;644.2;;;28720;;;;;;;;;;;;;;;;;;;
Château-Gaillard;01089;Château-Gaillard;896;2353;1525.7;19830;25170;30770;10940;15540;18620;20660;22870;27400;29670;32210;37250;2.4;2.8;0.2;83.4;78.4;2.3;2.7;21.6;5.5;4.1;2.4;1.1;0.6;-14.6;896;2353;1525.7;62;18680;25290;31870;13190;12450;17310;19980;22550;27580;30440;33710;40230;3,2;3.7;0.245;76.3;71.5;2.3;2.5;20.3;3.4
Châtenay;01090;Châtenay;154;368;247;;24090;;;;;;;;;;;;;;;;;;;;;;;;;154;368;247;;;23760;;;;;;;;;;;;;;;;;;;
Châtillon-la-Palud;01092;Châtillon-la-Palud;674;1650;1101;;25470;;;;;;;;;;;;;;;;;;;;;;;;;674;1650;1101;;;25900;;;;;;;;;;;;;;;;;;;
Châtillon-sur-Chalaronne;01093;Châtillon-sur-Chalaronne;2349;4775;3430.9;18350;23430;30280;11930;13920;17270;19600;21440;25750;28950;32040;38660;2.8;3.5;0.252;65.8;59.1;2.4;4.3;34.9;9.8;4.6;1.7;2;0.9;-15.1;2351;4777;3432.9;52;17090;23210;31300;14210;10720;15400;18300;20830;26180;29530;33410;42150;3,9;5.4;0.314;60.6;54.4;2.3;3.9;33.1;6.3
Chavannes-sur-Reyssouze;01094;Chavannes-sur-Reyssouze;320;756;514.3;;23460;;;;;;;;;;;;;;;;;;;;;;;;;320;756;514.3;;;23680;;;;;;;;;;;;;;;;;;;
Nivigne et Suran;01095;Nivigne et Suran;343;772;533.9;;23260;;;;;;;;;;;;;;;;;;;;;;;;;343;772;533.9;;;22820;;;;;;;;;;;;;;;;;;;
Chaveyriat;01096;Chaveyriat;410;1083;704.4;;23940;;;;;;;;;;;;;;;;;;;;;;;;;411;1087;706.9;;;23530;;;;;;;;;;;;;;;;;;;
Chazey-Bons;01098;Chazey-Bons;460;1133;756;;22520;;;;;;;;;;;;;;;;;;;;;;;;;458;1131;754;;;22030;;;;;;;;;;;;;;;;;;;
Chazey-sur-Ain;01099;Chazey-sur-Ain;674;1601;1083.9;;26780;;;;;;;;;;;;;;;;;;;;;;;;;674;1601;1083.9;;;27190;;;;;;;;;;;;;;;;;;;
Cheignieu-la-Balme;01100;Cheignieu-la-Balme;74;129;99;;21090;;;;;;;;;;;;;;;;;;;;;;;;;74;129;99;;;21120;;;;;;;;;;;;;;;;;;;
Chevillard;01101;Chevillard;71;163;110.8;;26800;;;;;;;;;;;;;;;;;;;;;;;;;71;163;110.8;;;28230;;;;;;;;;;;;;;;;;;;
Chevroux;01102;Chevroux;399;1021;671.1;;23750;;;;;;;;;;;;;;;;;;;;;;;;;399;1021;671.1;;;23150;;;;;;;;;;;;;;;;;;;
Chevry;01103;Chevry;769;1952;1265.6;;44010;;;;;;;;;;;;;;;;;;;;;;;;;791;1996;1297;;;46460;;;;;;;;;;;;;;;;;;;
Chézery-Forens;01104;Chézery-Forens;196;428;298.5;;25230;;;;;;;;;;;;;;;;;;;;;;;;;196;428;298.5;;;25980;;;;;;;;;;;;;;;;;;;
Civrieux;01105;Civrieux;728;1964;1261.4;;28920;;;;;;;;;;;;;;;;;;;;;;;;;730;1968;1264.4;;;29270;;;;;;;;;;;;;;;;;;;
Cize;01106;Cize;75;166;116.8;;23440;;;;;;;;;;;;;;;;;;;;;;;;;75;166;116.8;;;22470;;;;;;;;;;;;;;;;;;;
Cleyzieu;01107;Cleyzieu;64;138;95;;22370;;;;;;;;;;;;;;;;;;;;;;;;;64;138;95;;;23600;;;;;;;;;;;;;;;;;;;
Coligny;01108;Coligny;554;1185;830.7;;23750;;;;;;;;;;;;;;;;;;;;;;;;;554;1185;830.7;;;23240;;;;;;;;;;;;;;;;;;;
Collonges;01109;Collonges;814;2144;1379.2;21990;33820;48610;26610;13380;19050;24310;28430;39230;45150;53360;66690;5;6.5;0.344;94.2;88.6;3.6;2;14.5;4.2;1.6;0.8;0.5;0.3;-14.5;830;2182;1404.2;47;21240;34510;51160;29920;10490;17910;23930;29160;40230;48170;55740;69730;6,6;9;0.373;84.3;79.2;3.4;1.7;13.2;2.5
Colomieu;01110;Colomieu;69;155;107.5;;20800;;;;;;;;;;;;;;;;;;;;;;;;;69;155;107.5;;;20270;;;;;;;;;;;;;;;;;;;
Conand;01111;Cona;62;134;92.9;;21730;;;;;;;;;;;;;;;;;;;;;;;;;62;134;92.9;;;19910;;;;;;;;;;;;;;;;;;;
Condamine;01112;Coamine;167;451;288.7;;25520;;;;;;;;;;;;;;;;;;;;;;;;;167;451;288.7;;;26120;;;;;;;;;;;;;;;;;;;
Condeissiat;01113;Coeissiat;345;842;560.5;;23170;;;;;;;;;;;;;;;;;;;;;;;;;345;842;560.5;;;23120;;;;;;;;;;;;;;;;;;;
Confort;01114;Confort;238;587;387.7;;30140;;;;;;;;;;;;;;;;;;;;;;;;;239;588;388.7;;;30760;;;;;;;;;;;;;;;;;;;
Confrançon;01115;Confrançon;562;1373;915;;24350;;;;;;;;;;;;;;;;;;;;;;;;;562;1373;915;;;24180;;;;;;;;;;;;;;;;;;;
Contrevoz;01116;Contrevoz;212;474;329;;23210;;;;;;;;;;;;;;;;;;;;;;;;;212;474;329;;;23000;;;;;;;;;;;;;;;;;;;
Conzieu;01117;Conzieu;59;149;97.4;;22900;;;;;;;;;;;;;;;;;;;;;;;;;59;149;97.4;;;21990;;;;;;;;;;;;;;;;;;;
Corbonod;01118;Corbonod;454;1037;708.9;;27120;;;;;;;;;;;;;;;;;;;;;;;;;456;1040;711.2;;;27450;;;;;;;;;;;;;;;;;;;
Corlier;01121;Corlier;45;106;72.5;;24470;;;;;;;;;;;;;;;;;;;;;;;;;45;106;72.5;;;23270;;;;;;;;;;;;;;;;;;;
Cormoranche-sur-Saône;01123;Cormoranche-sur-Saône;462;1208;793.2;;25480;;;;;;;;;;;;;;;;;;;;;;;;;462;1208;793.2;;;25650;;;;;;;;;;;;;;;;;;;
Cormoz;01124;Cormoz;314;732;495.1;;23440;;;;;;;;;;;;;;;;;;;;;;;;;315;734;496.6;;;23540;;;;;;;;;;;;;;;;;;;
Corveissiat;01125;Corveissiat;278;633;435.1;;24010;;;;;;;;;;;;;;;;;;;;;;;;;278;633;435.1;;;24570;;;;;;;;;;;;;;;;;;;
Courmangoux;01127;Courmangoux;228;510;354.8;;24080;;;;;;;;;;;;;;;;;;;;;;;;;227;509;353.8;;;23420;;;;;;;;;;;;;;;;;;;
Courtes;01128;Courtes;134;297;206.1;;22520;;;;;;;;;;;;;;;;;;;;;;;;;134;297;206.1;;;22380;;;;;;;;;;;;;;;;;;;
Crans;01129;Crans;123;323;208;;26820;;;;;;;;;;;;;;;;;;;;;;;;;123;323;208;;;26670;;;;;;;;;;;;;;;;;;;
Bresse Vallons;01130;Bresse Vallons;938;2433;1587.2;19660;24120;29730;10060;16070;18660;20610;22530;26320;28550;30990;36490;2.3;2.6;0.194;81.1;73.7;2.4;5;23.3;6.4;3.8;2.3;1;0.5;-14.6;938;2433;1587.2;57;18690;23940;30880;12190;14230;17480;19620;21810;26540;29150;32270;38380;2,7;3.3;0.239;74.5;67.5;2.4;4.6;21.9;3.6
Cressin-Rochefort;01133;Cressin-Rochefort;169;400;274.2;;23660;;;;;;;;;;;;;;;;;;;;;;;;;169;400;274.2;;;24100;;;;;;;;;;;;;;;;;;;
Crottet;01134;Crottet;754;1856;1244.2;;24310;;;;;;;;;;;;;;;;;;;;;;;;;754;1856;1244.2;;;24150;;;;;;;;;;;;;;;;;;;
Crozet;01135;Crozet;796;2072;1342.1;27380;44040;64790;37410;13140;23700;31020;38140;51110;59700;71670;89530;6.8;8.5;0.371;90.6;86.5;2.4;1.7;17;9;0.7;0.3;0.3;0.1;-17.3;826;2155;1394.5;56;25750;46080;69690;43940;7760;20740;30240;39390;54400;64090;76130;95900;12,4;14.2;0.404;78.8;75.1;2.2;1.5;15.1;6.1
Cruzilles-lès-Mépillat;01136;Cruzilles-lès-Mépillat;376;991;645.6;;25850;;;;;;;;;;;;;;;;;;;;;;;;;376;989;644.6;;;25820;;;;;;;;;;;;;;;;;;;
Culoz;01138;Culoz;1260;2671;1882.7;16740;21560;27570;10830;12950;15310;17610;19400;23720;26050;29360;35600;2.7;3.5;0.253;67.4;61.7;3.3;2.4;32.7;7.7;5;2.2;1.9;0.9;-12.8;1260;2671;1882.7;48;14710;21120;28140;13430;9810;13500;15790;18400;23750;26670;30120;37330;3,8;5.2;0.312;63.5;57.9;3.3;2.3;31.8;4.7
